ctg000070_pilon_1	scaffold_MT	91.827	208	3	4	189317	189524	10145	10338	7.88e-75	278
ctg000430_pilon_1	scaffold_MT	90.446	157	7	2	1030044	1030200	2195	2343	8.40e-51	200
ctg000430_pilon_1	scaffold_MT	89.375	160	11	5	599155	599308	8220	8379	1.09e-49	196
ctg000430_pilon_1	scaffold_MT	85.526	152	13	3	769245	769388	8240	8390	8.58e-36	150
ctg000430_pilon_1	scaffold_MT	83.432	169	13	8	567506	567668	8220	8379	1.44e-33	143
ctg000430_pilon_1	scaffold_MT	85.321	109	10	5	602219	602324	8264	8369	5.24e-23	108
ctg000440_pilon_1	scaffold_MT	100.000	63	0	0	1089580	1089642	15205	15267	1.31e-25	117
ctg000460_pilon_1	scaffold_MT	81.579	114	5	9	6104578	6104679	1673	1782	6.89e-14	80.5
ctg000470_pilon_1	scaffold_MT	98.942	189	0	1	32124	32310	14308	14120	2.69e-93	337
ctg000650_pilon_1	scaffold_MT	88.439	173	11	5	868253	868425	16123	16286	1.63e-50	200
ctg000660_pilon_1	scaffold_MT	85.770	773	43	25	3013839	3014588	995	267	0.0	756
ctg000660_pilon_1	scaffold_MT	91.877	554	20	14	3049356	3049901	992	456	0.0	750
ctg000660_pilon_1	scaffold_MT	86.071	481	23	15	3064892	3065361	18722	18275	1.24e-133	477
ctg000660_pilon_1	scaffold_MT	85.865	474	27	17	3018557	3019026	18788	18351	7.46e-131	468
ctg000660_pilon_1	scaffold_MT	85.113	309	12	16	3015823	3016124	19277	18996	8.06e-76	285
ctg000660_pilon_1	scaffold_MT	85.223	291	14	8	3017206	3017481	19061	18785	6.28e-72	272
ctg000660_pilon_1	scaffold_MT	88.546	227	9	8	3110631	3110840	18635	18409	4.89e-68	259
ctg000660_pilon_1	scaffold_MT	85.771	253	20	7	3063759	3064005	19061	18819	2.27e-66	254
ctg000660_pilon_1	scaffold_MT	93.452	168	6	2	3050675	3050837	169	2	1.37e-63	244
ctg000660_pilon_1	scaffold_MT	82.686	283	16	12	3015549	3015821	261	2	2.31e-56	220
ctg000660_pilon_1	scaffold_MT	91.912	136	7	2	3050507	3050641	450	318	2.34e-46	187
ctg000660_pilon_1	scaffold_MT	84.444	180	7	6	3050860	3051028	19262	19093	1.83e-37	158
ctg000660_pilon_1	scaffold_MT	90.278	72	3	2	3064802	3064873	18788	18721	1.89e-17	91.6
ctg000660_pilon_1	scaffold_MT	86.667	75	4	4	3069240	3069313	995	926	1.47e-13	78.7
ctg000780_pilon_1	scaffold_MT	87.500	136	15	1	386759	386892	17877	17742	8.29e-38	156
ctg001070_pilon_1	scaffold_MT	94.366	142	8	0	163700	163841	3316	3175	1.33e-56	219
ctg001070_pilon_1	scaffold_MT	93.519	108	7	0	156864	156971	3061	3168	2.28e-39	161
ctg001070_pilon_1	scaffold_MT	90.741	108	10	0	196082	196189	3061	3168	2.29e-34	145
ctg001070_pilon_1	scaffold_MT	82.222	180	10	8	193209	193388	3332	3175	1.38e-31	135
ctg001070_pilon_1	scaffold_MT	87.500	112	10	1	149689	149800	3061	3168	8.31e-29	126
ctg001070_pilon_1	scaffold_MT	86.726	113	10	1	180134	180246	3061	3168	3.87e-27	121
ctg001070_pilon_1	scaffold_MT	83.929	112	9	5	202414	202525	3061	3163	1.81e-20	99.0
ctg001070_pilon_1	scaffold_MT	97.436	39	1	0	186377	186415	3061	3099	5.11e-11	67.6
ctg001210_pilon_1	scaffold_MT	100.000	41	0	0	155975	156015	7438	7398	4.22e-14	76.8
ctg001250_pilon_1	scaffold_MT	100.000	160	0	0	216993	217152	12215	12374	5.32e-80	296
ctg001380_pilon_1	scaffold_MT	95.122	41	2	0	54207	54247	9387	9347	2.72e-11	65.8
ctg001390_pilon_1	scaffold_MT	97.155	457	5	2	22635	23091	7190	6742	0.0	765
ctg001480_pilon_1	scaffold_MT	95.683	139	4	1	164812	164948	10904	11042	2.44e-57	222
ctg001480_pilon_1	scaffold_MT	98.148	54	1	0	164765	164818	14720	14773	5.56e-19	95.3
ctg001490_pilon_1	scaffold_MT	96.721	61	2	0	1830592	1830652	18128	18188	9.02e-21	102
ctg001490_pilon_1	scaffold_MT	96.364	55	1	1	803974	804027	7718	7772	7.03e-17	89.8
ctg001490_pilon_1	scaffold_MT	100.000	37	0	0	1866195	1866231	8691	8727	9.15e-11	69.4
ctg001500_pilon_1	scaffold_MT	86.486	185	13	7	4188465	4188648	7330	7157	8.36e-48	193
ctg001500_pilon_1	scaffold_MT	97.403	77	1	1	4264247	4264323	6308	6233	6.65e-29	130
ctg001610_pilon_1	scaffold_MT	99.346	153	1	0	67344	67496	12941	12789	3.22e-75	278
ctg001640_pilon_1	scaffold_MT	98.876	89	0	1	107667	107755	17667	17754	6.98e-39	158
ctg001750_pilon_1	scaffold_MT	100.000	83	0	0	1104879	1104961	4023	3941	1.03e-36	154
ctg001860_pilon_1	scaffold_MT	98.337	421	0	5	18146	18565	17910	18324	0.0	732
ctg001860_pilon_1	scaffold_MT	97.608	418	4	1	21256	21673	10979	10568	0.0	712
ctg001860_pilon_1	scaffold_MT	99.130	230	2	0	18859	19088	18319	18548	3.95e-116	414
ctg001860_pilon_1	scaffold_MT	99.545	220	1	0	19113	19332	11186	10967	3.08e-112	401
ctg001910_pilon_1	scaffold_MT	91.262	103	5	2	109405	109503	1168	1066	1.62e-32	137
ctg001960_pilon_1	scaffold_MT	88.636	88	10	0	1366918	1367005	2	89	9.78e-23	108
ctg002000_pilon_1	scaffold_MT	93.407	182	10	1	3015583	3015764	8596	8775	6.91e-71	268
ctg002000_pilon_1	scaffold_MT	88.542	96	11	0	1533812	1533907	1509	1604	2.65e-25	117
ctg002240_pilon_1	scaffold_MT	98.238	227	3	1	2159630	2159856	3184	2959	3.91e-109	396
ctg002400_pilon_1	scaffold_MT	100.000	161	0	0	303102	303262	3630	3470	3.08e-80	298
ctg002420_pilon_1	scaffold_MT	95.146	309	13	1	367693	367999	17975	17667	4.12e-137	486
